Field,Title,Company,Posted At,Location,Link
Software Engineering,l2l3 Python Automation,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/79367-en_GB+sap_btp/
Software Engineering,Python + Robot Framework + Infotainment(174424),Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/174424-en_GB+sap_btp/
Software Engineering,Senior Software Engineer - Python Automation Testing,Capgemini,NA,Pune  ,https://www.capgemini.com//jobs/146109-en_GB+sap_btp/
Software Engineering,Python Developer||2 To 4||Bangalore,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/82307-en_GB+sap_btp/
Software Engineering,Python Developer||4 To 6 Years||Bangalore,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/185749-en_GB+sap_btp/
Software Engineering,Python Developer||4 To 6 Years||Bangalore,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/185752-en_GB+sap_btp/
Software Engineering,Backend (Python/Django)|4 TO 6 YEARS|BANGALORE,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/164966-en_GB+sap_btp/
Software Engineering,PYTHON DEVELOPER |4 TO 12 Years | PAN INDIA,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/14971-en_US+sap_btp/
Software Engineering,Python + Robot Framework + Infotainment |4 to 6 years | Bengaluru,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/158885-en_GB+sap_btp/
Software Engineering,PYTHON RUST VALIDATION ENGINEER | 4 TO 6 YEARS | CHENNAI,Capgemini,NA,Chennai (ex Madras)  ,https://www.capgemini.com//jobs/174990-en_GB+sap_btp/
Software Engineering,Python + Robot Framework + Infotainment| 4 to 6 Years| Bengaluru,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/111043-en_GB+sap_btp/
Software Engineering,Python + Robot Framework + Infotainment| 6 to 9 years| Bengaluru,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/111040-en_GB+sap_btp/
Software Engineering,Python Automation Test Engineer| 4 TO 6 YEARS | PUNE,Capgemini,NA,Pune  ,https://www.capgemini.com//jobs/27983-en_US+sap_btp/
Software Engineering,Python Automation II 6 years to 9 Years II Bangalore,Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/165141-en_GB+sap_btp/
Software Engineering,"Full Stack Developer (Python) | 5 TO 12 Years | Bangalore, Mumbai & Noida",Capgemini,NA,Bangalore  ,https://www.capgemini.com//jobs/164844-en_GB+sap_btp/
