,Field,Title,Company,Posted At,Location,Link
0,Security,"Technical Consulting Engineer - Security (AAA , ISE, RADIUS, TACACS, DOT1X, ASA, FTD ) | 8+ years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer-Security-AAA-ISE-RADIUS-TACACS-DOT1X-ASA-FTD-8-years/1425698
1,Engineer - Hardware,ASIC Engineering Technical Lead,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineering-Technical-Lead/1426739
2,Engineer - Software,"Software Engineer| Systems/Application programming in C/C++, Data Structures , Algorithms , Networking | 4-8 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-Systems-Application-programming-in-C-C-Data-Structures-Algorithms-Networking-4-8-years/1428910
3,Engineer - Network,"Technical Consulting Engineer - Linux, AWS/Azure, SQL, Kubernetes/Dockers - 4 to 6 Years - Hyderabad",Cisco,NA,"Hyderabad, India",https://jobs.cisco.com/jobs/ProjectDetail/Technical-Consulting-Engineer-Linux-AWS-Azure-SQL-Kubernetes-Dockers-4-to-6-Years-Hyderabad/1429199
4,Engineer - Network,"Leader Engineering: SONiC Development, L2/L3 Protocol, C/C++/Python, Control Plane, 12-17 yrs",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Leader-Engineering-SONiC-Development-L2-L3-Protocol-C-C-Python-Control-Plane-12-17-yrs/1429340
5,Information Technology,"Tech Systems Engineering Technical Leader - Storage, SAN, NAS, Cisco MDS, EMC, UCS, Redhat,Netapp, Automation, Python, Ansible, 10-13yrs",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Tech-Systems-Engineering-Technical-Leader-Storage-SAN-NAS-Cisco-MDS-EMC-UCS-Redhat-Netapp-Automation-Python-Ansible-10-13yrs/1430214
6,Engineer - Software,Software Development Engineer in Test- DS/Algo/Test Automation/Bangalore /2-6 years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-in-Test-DS-Algo-Test-Automation-Bangalore-2-6-years/1430272
7,Engineer - Software,Software Development Engineer in Test,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-in-Test/1430273
8,Engineer - Software,"Software Engineering Technical Leader | C, Networking L2/L3, TCP/IP ""12-15years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineering-Technical-Leader-C-Networking-L2-L3-TCP-IP-12-15years/1430613
9,Engineer - Software,Software Engineer III | NSO Engineering,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-III-NSO-Engineering/1430750
10,Engineer - Network,"Software Engineer | C++/Python, Linux, Algorithm and Data Structure | Exp 6 to 8 Years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-C-Python-Linux-Algorithm-and-Data-Structure-Exp-6-to-8-Years/1430951
11,Engineer - Hardware,ASIC Design Engineer Technical Leader | 12+ years exp,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Design-Engineer-Technical-Leader-12-years-exp/1431331
12,Engineer - Software,"Senior Engineer - Cloud Infrastructure - SDWAN, 6-10 Yrs, Cloud, Networking, Security (basics), Customer Support, Operations",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Engineer-Cloud-Infrastructure-SDWAN-6-10-Yrs-Cloud-Networking-Security-basics-Customer-Support-Operations/1431377
13,Engineer - Software,"Networking Software Development Engineer|C,Data structure, L2/L3 Protocols,Linux,Networking |8-12 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Networking-Software-Development-Engineer-C-Data-structure-L2-L3-Protocols-Linux-Networking-8-12-years/1431743
14,Engineer - Software,"Leader - Software Development Optical-Embedded, OpticalSystems, Linux, DWDMtransmission, hyperscalers, People Manager - Exp -12-17 Yrs",Cisco,NA,"Offsite, Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Leader-Software-Development-Optical-Embedded-OpticalSystems-Linux-DWDMtransmission-hyperscalers-People-Manager-Exp-12-17-Yrs/1431911
15,Engineer - Software,"Principal Engineer - Optical Development (Java, C++, C, Python, DWDM, Amplifiers, Raman, ROADMs and OTN)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Principal-Engineer-Optical-Development-Java-C-C-Python-DWDM-Amplifiers-Raman-ROADMs-and-OTN/1432046
16,Engineer - Software,Software Development Engineer in Test (DS/Algo/Automation/Golang/Python)| 8+years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Development-Engineer-in-Test-DS-Algo-Automation-Golang-Python-8-years/1432068
17,Engineer - Pre Sales and Product Management,Solutions Engineer- AI,Cisco,NA,"Mumbai, India",https://jobs.cisco.com/jobs/ProjectDetail/Solutions-Engineer-AI/1432369
18,Security,Software Engineer :: QA Automation || Security/AWS || Exp - 8+ Years,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-QA-Automation-Security-AWS-Exp-8-Years/1432490
19,Engineer - Software,"Senior Software Engineer-Storage | C, Linux, Networking Domain | 7-11 years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Storage-C-Linux-Networking-Domain-7-11-years/1432726
20,Engineer - Software,"Senior Software Engineer - Platform, C/C++, Linux, Storage/SAN",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Platform-C-C-Linux-Storage-SAN/1433036
21,Engineer - Hardware,ASIC Design and Verification Engineer | 4+ years exp,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Design-and-Verification-Engineer-4-years-exp/1433129
22,Engineer - Hardware,"ASIC DFT Engineer || MBIST, Scan Insertion, JTAG, ATPG || Exp 7 to 12 Years",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-DFT-Engineer-MBIST-Scan-Insertion-JTAG-ATPG-Exp-7-to-12-Years/1433308
23,Engineer - Hardware,ASIC Engineering Technical Leader,Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/ASIC-Engineering-Technical-Leader/1433341
24,Engineer - Software,"Software Engineer - DevOps(On-Prem) - Jenkins Pipelines, Kubernetes and Automation with Python (8+ Years)",Cisco,NA,"Bangalore, India",https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-DevOps-On-Prem-Jenkins-Pipelines-Kubernetes-and-Automation-with-Python-8-Years/1433394
