Field,Title,Company,Posted At,Location,Link
Software Engineering,Python Developer,Oracle,NA,Romania,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/281519/?keyword=python&mode=location
Software Engineering,Python Developer,Oracle,NA,"HYDERABAD, TELANGANA, India",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/262312/?keyword=python&mode=location
Software Engineering,Principal SW Engineer - Python developer,Oracle,NA,Czech Republic,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/272517/?keyword=python&mode=location
Software Engineering,Python Developer (Cloud & DevOps),Oracle,NA,"ZAPOPAN, JALISCO, Mexico",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/280169/?keyword=python&mode=location
Software Engineering,Fresh Graduated - Python Developer for AI Technologies,Oracle,NA,"ZAPOPAN, JALISCO, Mexico",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/281564/?keyword=python&mode=location
Software Engineering,Senior Fullstack developer - Python / FastAPI,Oracle,NA,"ZAPOPAN, JALISCO, Mexico",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/269772/?keyword=python&mode=location
Software Engineering,Fullstack developer - Python / FastAPI,Oracle,NA,"ZAPOPAN, JALISCO, Mexico",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/277998/?keyword=python&mode=location
Software Engineering,Fullstack developer - Python / FastAPI,Oracle,NA,"ZAPOPAN, JALISCO, Mexico",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/278363/?keyword=python&mode=location
Software Engineering,Site Reliability Engineer - Citrix,Oracle,NA,"MADRID, Spain",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/260438/?keyword=python&mode=location
Software Engineering,Principal SW Engineer - C/C++ developer,Oracle,NA,Czech Republic,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/272516/?keyword=python&mode=location
Software Engineering,Senior Software Developer,Oracle,NA,"Santa Clara, CA, United States",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/282756/?keyword=python&mode=location
Software Engineering,Software Developer 2,Oracle,NA,India,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/280753/?keyword=python&mode=location
Software Engineering,Senior Software Developer,Oracle,NA,"BENGALURU, KARNATAKA, India",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/258214/?keyword=python&mode=location
Software Engineering,Software Developer 3,Oracle,NA,India,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/269834/?keyword=python&mode=location
Software Engineering,Linux QA Automation,Oracle,NA,Mexico,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/282492/?keyword=python&mode=location
Software Engineering,Software Developer 3,Oracle,NA,India,https://careers.oracle.com/jobs/#en/sites/jobsearch/job/279507/?keyword=python&mode=location
Software Engineering,QA Analyst 3-ProdDev,Oracle,NA,"HYDERABAD, TELANGANA, India",https://careers.oracle.com/jobs/#en/sites/jobsearch/job/269986/?keyword=python&mode=location
