,Field,Title,Categorty & Location,Link
0,Software Engineering,Cloud Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12560&source=WEB_Search_INDIA
1,Software Engineering,Application Developer-Adobe Commerce,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=13153&source=WEB_Search_INDIA
2,Software Engineering,Infrastructure Specialist-AWS DevOps,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16764&source=WEB_Search_INDIA
3,Data & Analytics,Data Engineer-Data Platforms-AWS,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15686&source=WEB_Search_INDIA
4,Software Engineering,AI Data Pipeline Specialist for Code Models,"ProfessionalMarkham, CA",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16897&source=WEB_Search_INDIA
5,Data & Analytics,Data Engineer-Data Platforms,"Entry LevelPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15444&source=WEB_Search_INDIA
6,Software Engineering,Software Developer - Devops/Ansible,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=18291&source=WEB_Search_INDIA
7,Software Engineering,Software Developer - Java Full Stack,"Entry LevelBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17984&source=WEB_Search_INDIA
8,Consulting,Advisory Delivery Consultant - App Runtime Specialist,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=14852&source=WEB_Search_INDIA
9,Data & Analytics,Data Scientist-Artificial Intelligence,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15373&source=WEB_Search_INDIA
10,Software Engineering,Data and AI Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16796&source=WEB_Search_INDIA
11,Software Engineering,WXA4Z - Full Stack Development Lead,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12675&source=WEB_Search_INDIA
12,Data & Analytics,Data Engineer-Data Platforms-AWS,"Entry LevelKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12901&source=WEB_Search_INDIA
13,Software Engineering,Java middleware software developer,"ProfessionalGuadalajara, MX",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10797&source=WEB_Search_INDIA
14,Infrastructure & Technology,Site Reliability Database Engineer (DBA),"ProfessionalDublin, IE",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16102&source=WEB_Search_INDIA
15,Software Engineering,Experience Fullstack Developer - Japanese Bilingual,Entry LevelMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=15136&source=WEB_Search_INDIA
16,Infrastructure & Technology,Software Devops Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11421&source=WEB_Search_INDIA
17,Data & Analytics,Data Engineer-Data Platforms-Azure,"ProfessionalKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16283&source=WEB_Search_INDIA
18,Software Engineering,Software Developer - Java FSD,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12186&source=WEB_Search_INDIA
19,Data & Analytics,Junior Data Scientist German,ProfessionalMultiple Cities,https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12886&source=WEB_Search_INDIA
20,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=8212&source=WEB_Search_INDIA
21,Infrastructure & Technology,Back-End Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=10086&source=WEB_Search_INDIA
22,Software Engineering,Software Developer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=16776&source=WEB_Search_INDIA
23,Consulting,Technical Consultant-Security Intel & Operations Consulting Svcs,"ProfessionalPune, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=11397&source=WEB_Search_INDIA
24,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7012&source=WEB_Search_INDIA
25,Infrastructure & Technology,Firmware  Engineer,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=5444&source=WEB_Search_INDIA
26,Software Engineering,Data Engineer-Data Platforms,"ProfessionalHyderabad, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7010&source=WEB_Search_INDIA
27,Software Engineering,WXA4Z - Full Stack Development Lead,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=12741&source=WEB_Search_INDIA
28,Software Engineering,Data Engineer-Data Platforms,"ProfessionalBangalore, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=7987&source=WEB_Search_INDIA
29,Data & Analytics,Data Engineer-Data Platforms-Azure,"Entry LevelKochi, IN",https://ibmglobal.avature.net/en_IN/careers/JobDetail?jobId=17892&source=WEB_Search_INDIA
30,Software Engineering,Senior Fullstack Python developer,"ProfessionalVilnius, LT",https://careers.ibm.com/job/21199958/senior-fullstack-python-developer-remote/?codes=WEB_Search_INDIA
